Protein_ID,Fold,Split,Cluster
F8TWD2_L,fold_03,Train,0
H6UQ81_L,fold_03,Train,0
H6WBC5_L,fold_03,Train,0
hmoChr44410_L,fold_03,Train,0
J7HWK5_L,fold_03,Train,0
O04806_C,fold_03,Train,0
P0CV94_L,fold_03,Train,0
P0CV95_L,fold_03,Train,0
Q1XBU5_L,fold_03,Train,0
Q20HU7_C,fold_03,Train,0
Q2XSC5_L,fold_03,Train,0
Q2XSC6_C,fold_03,Train,0
Q40322_C,fold_03,Train,0
Q5SBP3_L,fold_03,Train,0
Q675L1_C,fold_03,Train,0
Q675L2_L,fold_03,Train,0
Q6F5H2_C,fold_03,Train,0
Q6F5H3_C,fold_03,Train,0
Q6ZH94_L,fold_03,Train,0
Q84UV0_L,fold_03,Train,0
Q8H2B4_L,fold_03,Train,0
Q8L5K1_C,fold_03,Train,0
Q8L5K3_C,fold_03,Train,0
Q940E7_C,fold_03,Train,0
Q96376_L,fold_03,Train,0
Q9AXM7_C,fold_03,Train,0
Q9FUW5_C,fold_03,Train,0
Q9M7C9_C,fold_03,Train,0
Q9SPN0_L,fold_03,Train,0
Q9SPN1_L,fold_03,Train,0
R4I6X2_L,fold_03,Train,0
R4YVJ5_C,fold_03,Train,0
slectg127_np665_L,fold_03,Train,0
slectg240_np1756_L,fold_03,Train,0
U5PZT6_L,fold_03,Train,0
vodctg000225_np551212.245_C,fold_03,Train,0
vodctg000225_np551212959_L,fold_03,Train,0
vodctg000245_np551212567_C,fold_03,Train,0
vraChr51716_C,fold_03,Train,0
vraChr52544_C,fold_03,Train,0
A0A059SVB0_L,fold_03,Test,0
B0F4G4_C,fold_03,Test,0
B1NA84_L,fold_03,Test,0
B6F137_L,fold_03,Test,0
C0KWV5_L,fold_03,Test,0
C0KY88_L,fold_03,Test,0
G5CV39_L,fold_03,Test,0
Q9M5A4_C,fold_03,Test,0
Q9SW76_C,fold_03,Test,0
slectg065_np871_L,fold_03,Test,0
A0A059SVB0_L,fold_04,Train,12
A0A068B0N9_L,fold_04,Train,12
A0A097ZLP5_L,fold_04,Train,12
A0A0D3ML99_C,fold_04,Train,12
A0A0F6PMD0_C,fold_04,Train,12
A0A140KFH3_L,fold_04,Train,12
A0A1C9J6A7_C,fold_04,Train,12
A0A1Q1N939_L,fold_04,Train,12
A0A2R3ZE39_L,fold_04,Train,12
A0A345BJ04_L,fold_04,Train,12
A0A3G9EWY9_L,fold_04,Train,12
A0A481YAH7_C,fold_04,Train,12
A0A4Y5QVX4_C,fold_04,Train,12
A0A4Y5QWA6_L,fold_04,Train,12
A0A4Y5QZ62_L,fold_04,Train,12
A0A5B9G8E4_L,fold_04,Train,12
A0A6C0M6B5_L,fold_04,Train,12
A0A6P6W6H5_C,fold_04,Train,12
A0A7G8EIM4_L,fold_04,Train,12
A0A7L7S5P2_L,fold_04,Train,12
A0A7L7S5U1_L,fold_04,Train,12
A0A7L7T499_L,fold_04,Train,12
A0A7L7TAQ2_L,fold_04,Train,12
A7IZZ1_C,fold_04,Train,12
ATY48639_L,fold_04,Train,12
B0F4G4_C,fold_04,Train,12
B1NA83_L,fold_04,Train,12
B1NA84_L,fold_04,Train,12
B6F137_L,fold_04,Train,12
C0KWV5_L,fold_04,Train,12
C0KWV7_L,fold_04,Train,12
C0KY88_L,fold_04,Train,12
C0PPR1_L,fold_04,Train,12
D4N3A0_L,fold_04,Train,12
D4N3A1_L,fold_04,Train,12
dinctg000_np1212847_L,fold_04,Train,12
F2XF93_L,fold_04,Train,12
F2XFA6_L,fold_04,Train,12
F8TWD1_L,fold_04,Train,12
F8TWD2_L,fold_04,Train,12
G5CV39_L,fold_04,Train,12
H6UQ81_L,fold_04,Train,12
hmoChr44410_L,fold_04,Train,12
O04806_C,fold_04,Train,12
Q1XBU5_L,fold_04,Train,12
Q20HU7_C,fold_04,Train,12
Q2XSC5_L,fold_04,Train,12
Q2XSC6_C,fold_04,Train,12
Q40322_C,fold_04,Train,12
Q5SBP3_L,fold_04,Train,12
Q675L1_C,fold_04,Train,12
Q675L2_L,fold_04,Train,12
Q6F5H2_C,fold_04,Train,12
Q6F5H3_C,fold_04,Train,12
Q6ZH94_L,fold_04,Train,12
Q84UV0_L,fold_04,Train,12
Q8H2B4_L,fold_04,Train,12
Q8L5K1_C,fold_04,Train,12
Q8L5K3_C,fold_04,Train,12
Q940E7_C,fold_04,Train,12
Q96376_L,fold_04,Train,12
Q9AXM7_C,fold_04,Train,12
Q9FUW5_C,fold_04,Train,12
Q9M5A4_C,fold_04,Train,12
Q9M7C9_C,fold_04,Train,12
Q9SPN0_L,fold_04,Train,12
Q9SPN1_L,fold_04,Train,12
Q9SW76_C,fold_04,Train,12
R4YVJ5_C,fold_04,Train,12
slectg065_np871_L,fold_04,Train,12
slectg127_np665_L,fold_04,Train,12
slectg240_np1756_L,fold_04,Train,12
U5PZT6_L,fold_04,Train,12
vodctg000225_np551212.245_C,fold_04,Train,12
vodctg000225_np551212959_L,fold_04,Train,12
vodctg000245_np551212567_C,fold_04,Train,12
vraChr51716_C,fold_04,Train,12
vraChr52544_C,fold_04,Train,12
A0A097ZLN9_L,fold_04,Test,12
A0A097ZLS9_L,fold_04,Test,12
A0A2R3ZE38_L,fold_04,Test,12
D5SL78_L,fold_04,Test,12
H6WBC5_L,fold_04,Test,12
J7HWK5_L,fold_04,Test,12
P0CV94_L,fold_04,Test,12
P0CV95_L,fold_04,Test,12
R4I6X2_L,fold_04,Test,12
A0A059SVB0_L,fold_05,Train,7
A0A068B0N9_L,fold_05,Train,7
A0A097ZLN9_L,fold_05,Train,7
A0A097ZLS9_L,fold_05,Train,7
A0A0D3ML99_C,fold_05,Train,7
A0A0F6PMD0_C,fold_05,Train,7
A0A140KFH3_L,fold_05,Train,7
A0A1C9J6A7_C,fold_05,Train,7
A0A1Q1N939_L,fold_05,Train,7
A0A2R3ZE38_L,fold_05,Train,7
A0A2R3ZE39_L,fold_05,Train,7
A0A345BJ04_L,fold_05,Train,7
A0A3G9EWY9_L,fold_05,Train,7
A0A481YAH7_C,fold_05,Train,7
A0A4Y5QVX4_C,fold_05,Train,7
A0A4Y5QWA6_L,fold_05,Train,7
A0A4Y5QZ62_L,fold_05,Train,7
A0A5B9G8E4_L,fold_05,Train,7
A0A6C0M6B5_L,fold_05,Train,7
A0A6P6W6H5_C,fold_05,Train,7
A0A7G8EIM4_L,fold_05,Train,7
A0A7L7S5P2_L,fold_05,Train,7
A0A7L7S5U1_L,fold_05,Train,7
A0A7L7T499_L,fold_05,Train,7
A0A7L7TAQ2_L,fold_05,Train,7
A7IZZ1_C,fold_05,Train,7
ATY48639_L,fold_05,Train,7
B0F4G4_C,fold_05,Train,7
B1NA83_L,fold_05,Train,7
B1NA84_L,fold_05,Train,7
B6F137_L,fold_05,Train,7
C0KWV5_L,fold_05,Train,7
C0KWV7_L,fold_05,Train,7
C0KY88_L,fold_05,Train,7
C0PPR1_L,fold_05,Train,7
D4N3A0_L,fold_05,Train,7
D4N3A1_L,fold_05,Train,7
D5SL78_L,fold_05,Train,7
dinctg000_np1212847_L,fold_05,Train,7
F8TWD1_L,fold_05,Train,7
F8TWD2_L,fold_05,Train,7
G5CV39_L,fold_05,Train,7
H6UQ81_L,fold_05,Train,7
H6WBC5_L,fold_05,Train,7
hmoChr44410_L,fold_05,Train,7
J7HWK5_L,fold_05,Train,7
O04806_C,fold_05,Train,7
P0CV94_L,fold_05,Train,7
P0CV95_L,fold_05,Train,7
Q1XBU5_L,fold_05,Train,7
Q2XSC5_L,fold_05,Train,7
Q2XSC6_C,fold_05,Train,7
Q40322_C,fold_05,Train,7
Q5SBP3_L,fold_05,Train,7
Q675L2_L,fold_05,Train,7
Q6F5H2_C,fold_05,Train,7
Q6F5H3_C,fold_05,Train,7
Q6ZH94_L,fold_05,Train,7
Q84UV0_L,fold_05,Train,7
Q8H2B4_L,fold_05,Train,7
Q8L5K1_C,fold_05,Train,7
Q8L5K3_C,fold_05,Train,7
Q940E7_C,fold_05,Train,7
Q96376_L,fold_05,Train,7
Q9AXM7_C,fold_05,Train,7
Q9FUW5_C,fold_05,Train,7
Q9M5A4_C,fold_05,Train,7
Q9SPN0_L,fold_05,Train,7
Q9SPN1_L,fold_05,Train,7
Q9SW76_C,fold_05,Train,7
R4I6X2_L,fold_05,Train,7
R4YVJ5_C,fold_05,Train,7
slectg065_np871_L,fold_05,Train,7
slectg127_np665_L,fold_05,Train,7
slectg240_np1756_L,fold_05,Train,7
U5PZT6_L,fold_05,Train,7
vodctg000225_np551212.245_C,fold_05,Train,7
vodctg000225_np551212959_L,fold_05,Train,7
vodctg000245_np551212567_C,fold_05,Train,7
vraChr51716_C,fold_05,Train,7
vraChr52544_C,fold_05,Train,7
A0A097ZLP5_L,fold_05,Test,7
F2XF93_L,fold_05,Test,7
F2XFA6_L,fold_05,Test,7
Q20HU7_C,fold_05,Test,7
Q675L1_C,fold_05,Test,7
Q9M7C9_C,fold_05,Test,7
A0A059SVB0_L,fold_06,Train,10
A0A068B0N9_L,fold_06,Train,10
A0A097ZLN9_L,fold_06,Train,10
A0A097ZLP5_L,fold_06,Train,10
A0A097ZLS9_L,fold_06,Train,10
A0A0D3ML99_C,fold_06,Train,10
A0A0F6PMD0_C,fold_06,Train,10
A0A1C9J6A7_C,fold_06,Train,10
A0A1Q1N939_L,fold_06,Train,10
A0A2R3ZE38_L,fold_06,Train,10
A0A2R3ZE39_L,fold_06,Train,10
A0A345BJ04_L,fold_06,Train,10
A0A3G9EWY9_L,fold_06,Train,10
A0A481YAH7_C,fold_06,Train,10
A0A4Y5QVX4_C,fold_06,Train,10
A0A4Y5QWA6_L,fold_06,Train,10
A0A4Y5QZ62_L,fold_06,Train,10
A0A5B9G8E4_L,fold_06,Train,10
A0A6C0M6B5_L,fold_06,Train,10
A0A6P6W6H5_C,fold_06,Train,10
A0A7G8EIM4_L,fold_06,Train,10
A0A7L7S5P2_L,fold_06,Train,10
A0A7L7T499_L,fold_06,Train,10
A0A7L7TAQ2_L,fold_06,Train,10
A7IZZ1_C,fold_06,Train,10
ATY48639_L,fold_06,Train,10
B0F4G4_C,fold_06,Train,10
B1NA83_L,fold_06,Train,10
B1NA84_L,fold_06,Train,10
B6F137_L,fold_06,Train,10
C0KWV5_L,fold_06,Train,10
C0KWV7_L,fold_06,Train,10
C0KY88_L,fold_06,Train,10
C0PPR1_L,fold_06,Train,10
D4N3A0_L,fold_06,Train,10
D5SL78_L,fold_06,Train,10
dinctg000_np1212847_L,fold_06,Train,10
F2XF93_L,fold_06,Train,10
F2XFA6_L,fold_06,Train,10
F8TWD2_L,fold_06,Train,10
G5CV39_L,fold_06,Train,10
H6WBC5_L,fold_06,Train,10
hmoChr44410_L,fold_06,Train,10
J7HWK5_L,fold_06,Train,10
O04806_C,fold_06,Train,10
P0CV94_L,fold_06,Train,10
P0CV95_L,fold_06,Train,10
Q1XBU5_L,fold_06,Train,10
Q20HU7_C,fold_06,Train,10
Q2XSC5_L,fold_06,Train,10
Q2XSC6_C,fold_06,Train,10
Q40322_C,fold_06,Train,10
Q5SBP3_L,fold_06,Train,10
Q675L1_C,fold_06,Train,10
Q675L2_L,fold_06,Train,10
Q6F5H2_C,fold_06,Train,10
Q6F5H3_C,fold_06,Train,10
Q6ZH94_L,fold_06,Train,10
Q84UV0_L,fold_06,Train,10
Q8H2B4_L,fold_06,Train,10
Q8L5K1_C,fold_06,Train,10
Q8L5K3_C,fold_06,Train,10
Q940E7_C,fold_06,Train,10
Q96376_L,fold_06,Train,10
Q9AXM7_C,fold_06,Train,10
Q9FUW5_C,fold_06,Train,10
Q9M5A4_C,fold_06,Train,10
Q9M7C9_C,fold_06,Train,10
Q9SPN0_L,fold_06,Train,10
Q9SPN1_L,fold_06,Train,10
Q9SW76_C,fold_06,Train,10
R4I6X2_L,fold_06,Train,10
R4YVJ5_C,fold_06,Train,10
slectg065_np871_L,fold_06,Train,10
slectg127_np665_L,fold_06,Train,10
U5PZT6_L,fold_06,Train,10
vodctg000225_np551212.245_C,fold_06,Train,10
vodctg000225_np551212959_L,fold_06,Train,10
vodctg000245_np551212567_C,fold_06,Train,10
vraChr51716_C,fold_06,Train,10
vraChr52544_C,fold_06,Train,10
A0A140KFH3_L,fold_06,Test,10
A0A7L7S5U1_L,fold_06,Test,10
D4N3A1_L,fold_06,Test,10
F8TWD1_L,fold_06,Test,10
H6UQ81_L,fold_06,Test,10
slectg240_np1756_L,fold_06,Test,10
A0A059SVB0_L,fold_07,Train,11
A0A068B0N9_L,fold_07,Train,11
A0A097ZLN9_L,fold_07,Train,11
A0A097ZLP5_L,fold_07,Train,11
A0A097ZLS9_L,fold_07,Train,11
A0A0D3ML99_C,fold_07,Train,11
A0A0F6PMD0_C,fold_07,Train,11
A0A140KFH3_L,fold_07,Train,11
A0A1C9J6A7_C,fold_07,Train,11
A0A1Q1N939_L,fold_07,Train,11
A0A2R3ZE38_L,fold_07,Train,11
A0A2R3ZE39_L,fold_07,Train,11
A0A345BJ04_L,fold_07,Train,11
A0A3G9EWY9_L,fold_07,Train,11
A0A481YAH7_C,fold_07,Train,11
A0A4Y5QVX4_C,fold_07,Train,11
A0A4Y5QWA6_L,fold_07,Train,11
A0A4Y5QZ62_L,fold_07,Train,11
A0A5B9G8E4_L,fold_07,Train,11
A0A6C0M6B5_L,fold_07,Train,11
A0A6P6W6H5_C,fold_07,Train,11
A0A7G8EIM4_L,fold_07,Train,11
A0A7L7S5P2_L,fold_07,Train,11
A0A7L7S5U1_L,fold_07,Train,11
A0A7L7T499_L,fold_07,Train,11
A0A7L7TAQ2_L,fold_07,Train,11
A7IZZ1_C,fold_07,Train,11
ATY48639_L,fold_07,Train,11
B0F4G4_C,fold_07,Train,11
B1NA83_L,fold_07,Train,11
B1NA84_L,fold_07,Train,11
B6F137_L,fold_07,Train,11
C0KWV5_L,fold_07,Train,11
C0KWV7_L,fold_07,Train,11
C0KY88_L,fold_07,Train,11
C0PPR1_L,fold_07,Train,11
D4N3A0_L,fold_07,Train,11
D4N3A1_L,fold_07,Train,11
D5SL78_L,fold_07,Train,11
F2XF93_L,fold_07,Train,11
F2XFA6_L,fold_07,Train,11
F8TWD1_L,fold_07,Train,11
F8TWD2_L,fold_07,Train,11
G5CV39_L,fold_07,Train,11
H6UQ81_L,fold_07,Train,11
H6WBC5_L,fold_07,Train,11
hmoChr44410_L,fold_07,Train,11
J7HWK5_L,fold_07,Train,11
O04806_C,fold_07,Train,11
P0CV94_L,fold_07,Train,11
P0CV95_L,fold_07,Train,11
Q1XBU5_L,fold_07,Train,11
Q20HU7_C,fold_07,Train,11
Q2XSC5_L,fold_07,Train,11
Q2XSC6_C,fold_07,Train,11
Q40322_C,fold_07,Train,11
Q675L1_C,fold_07,Train,11
Q675L2_L,fold_07,Train,11
Q6F5H2_C,fold_07,Train,11
Q6F5H3_C,fold_07,Train,11
Q6ZH94_L,fold_07,Train,11
Q84UV0_L,fold_07,Train,11
Q8H2B4_L,fold_07,Train,11
Q8L5K1_C,fold_07,Train,11
Q8L5K3_C,fold_07,Train,11
Q940E7_C,fold_07,Train,11
Q96376_L,fold_07,Train,11
Q9AXM7_C,fold_07,Train,11
Q9FUW5_C,fold_07,Train,11
Q9M5A4_C,fold_07,Train,11
Q9M7C9_C,fold_07,Train,11
Q9SPN1_L,fold_07,Train,11
Q9SW76_C,fold_07,Train,11
R4I6X2_L,fold_07,Train,11
R4YVJ5_C,fold_07,Train,11
slectg065_np871_L,fold_07,Train,11
slectg240_np1756_L,fold_07,Train,11
U5PZT6_L,fold_07,Train,11
vodctg000225_np551212.245_C,fold_07,Train,11
