Protein_ID,Fold,Split
R4YVJ5_C,fold_02,Train
slectg065_np871_L,fold_02,Train
slectg127_np665_L,fold_02,Train
slectg240_np1756_L,fold_02,Train
U5PZT6_L,fold_02,Train
vodctg000225_np551212.245_C,fold_02,Train
vodctg000225_np551212959_L,fold_02,Train
vodctg000245_np551212567_C,fold_02,Train
vraChr51716_C,fold_02,Train
vraChr52544_C,fold_02,Train
C0KWV5_L,fold_02,Test
C0KWV7_L,fold_02,Test
C0KY88_L,fold_02,Test
Q2XSC5_L,fold_02,Test
Q2XSC6_C,fold_02,Test
Q8H2B4_L,fold_02,Test
A0A059SVB0_L,fold_03,Train
A0A068B0N9_L,fold_03,Train
A0A097ZLN9_L,fold_03,Train
A0A097ZLP5_L,fold_03,Train
A0A097ZLS9_L,fold_03,Train
A0A0D3ML99_C,fold_03,Train
A0A0F6PMD0_C,fold_03,Train
A0A140KFH3_L,fold_03,Train
A0A1Q1N939_L,fold_03,Train
A0A2R3ZE38_L,fold_03,Train
A0A2R3ZE39_L,fold_03,Train
A0A345BJ04_L,fold_03,Train
A0A3G9EWY9_L,fold_03,Train
A0A4Y5QVX4_C,fold_03,Train
A0A4Y5QWA6_L,fold_03,Train
A0A4Y5QZ62_L,fold_03,Train
A0A5B9G8E4_L,fold_03,Train
A0A6C0M6B5_L,fold_03,Train
A0A6P6W6H5_C,fold_03,Train
A0A7G8EIM4_L,fold_03,Train
A0A7L7S5P2_L,fold_03,Train
A0A7L7S5U1_L,fold_03,Train
A0A7L7T499_L,fold_03,Train
A0A7L7TAQ2_L,fold_03,Train
A7IZZ1_C,fold_03,Train
ATY48639_L,fold_03,Train
B0F4G4_C,fold_03,Train
B1NA83_L,fold_03,Train
B1NA84_L,fold_03,Train
B6F137_L,fold_03,Train
C0KWV5_L,fold_03,Train
C0KWV7_L,fold_03,Train
C0KY88_L,fold_03,Train
C0PPR1_L,fold_03,Train
D4N3A0_L,fold_03,Train
D4N3A1_L,fold_03,Train
D5SL78_L,fold_03,Train
dinctg000_np1212847_L,fold_03,Train
F2XF93_L,fold_03,Train
F2XFA6_L,fold_03,Train
F8TWD1_L,fold_03,Train
F8TWD2_L,fold_03,Train
G5CV39_L,fold_03,Train
H6UQ81_L,fold_03,Train
H6WBC5_L,fold_03,Train
hmoChr44410_L,fold_03,Train
J7HWK5_L,fold_03,Train
O04806_C,fold_03,Train
P0CV94_L,fold_03,Train
P0CV95_L,fold_03,Train
Q1XBU5_L,fold_03,Train
Q20HU7_C,fold_03,Train
Q2XSC5_L,fold_03,Train
Q2XSC6_C,fold_03,Train
Q40322_C,fold_03,Train
Q5SBP3_L,fold_03,Train
Q675L1_C,fold_03,Train
Q675L2_L,fold_03,Train
Q6ZH94_L,fold_03,Train
Q84UV0_L,fold_03,Train
Q8H2B4_L,fold_03,Train
Q940E7_C,fold_03,Train
Q96376_L,fold_03,Train
Q9AXM7_C,fold_03,Train
Q9FUW5_C,fold_03,Train
Q9M5A4_C,fold_03,Train
Q9M7C9_C,fold_03,Train
Q9SPN0_L,fold_03,Train
Q9SPN1_L,fold_03,Train
Q9SW76_C,fold_03,Train
R4I6X2_L,fold_03,Train
R4YVJ5_C,fold_03,Train
slectg065_np871_L,fold_03,Train
slectg127_np665_L,fold_03,Train
slectg240_np1756_L,fold_03,Train
U5PZT6_L,fold_03,Train
vodctg000225_np551212.245_C,fold_03,Train
vodctg000225_np551212959_L,fold_03,Train
vodctg000245_np551212567_C,fold_03,Train
vraChr51716_C,fold_03,Train
vraChr52544_C,fold_03,Train
A0A1C9J6A7_C,fold_03,Test
A0A481YAH7_C,fold_03,Test
Q6F5H2_C,fold_03,Test
Q6F5H3_C,fold_03,Test
Q8L5K1_C,fold_03,Test
Q8L5K3_C,fold_03,Test
A0A059SVB0_L,fold_04,Train
A0A068B0N9_L,fold_04,Train
A0A097ZLN9_L,fold_04,Train
A0A097ZLP5_L,fold_04,Train
A0A097ZLS9_L,fold_04,Train
A0A0D3ML99_C,fold_04,Train
A0A0F6PMD0_C,fold_04,Train
A0A140KFH3_L,fold_04,Train
A0A1C9J6A7_C,fold_04,Train
A0A1Q1N939_L,fold_04,Train
A0A2R3ZE38_L,fold_04,Train
A0A2R3ZE39_L,fold_04,Train
A0A345BJ04_L,fold_04,Train
A0A3G9EWY9_L,fold_04,Train
A0A481YAH7_C,fold_04,Train
A0A4Y5QVX4_C,fold_04,Train
A0A4Y5QWA6_L,fold_04,Train
A0A4Y5QZ62_L,fold_04,Train
A0A5B9G8E4_L,fold_04,Train
A0A6C0M6B5_L,fold_04,Train
A0A6P6W6H5_C,fold_04,Train
A0A7G8EIM4_L,fold_04,Train
A0A7L7S5P2_L,fold_04,Train
A0A7L7S5U1_L,fold_04,Train
A0A7L7T499_L,fold_04,Train
A0A7L7TAQ2_L,fold_04,Train
A7IZZ1_C,fold_04,Train
ATY48639_L,fold_04,Train
B0F4G4_C,fold_04,Train
B1NA83_L,fold_04,Train
B1NA84_L,fold_04,Train
B6F137_L,fold_04,Train
C0KWV5_L,fold_04,Train
C0KWV7_L,fold_04,Train
C0KY88_L,fold_04,Train
D4N3A0_L,fold_04,Train
D4N3A1_L,fold_04,Train
D5SL78_L,fold_04,Train
dinctg000_np1212847_L,fold_04,Train
F8TWD1_L,fold_04,Train
F8TWD2_L,fold_04,Train
G5CV39_L,fold_04,Train
H6UQ81_L,fold_04,Train
H6WBC5_L,fold_04,Train
hmoChr44410_L,fold_04,Train
J7HWK5_L,fold_04,Train
O04806_C,fold_04,Train
P0CV94_L,fold_04,Train
P0CV95_L,fold_04,Train
Q1XBU5_L,fold_04,Train
Q20HU7_C,fold_04,Train
Q2XSC5_L,fold_04,Train
Q2XSC6_C,fold_04,Train
Q40322_C,fold_04,Train
Q5SBP3_L,fold_04,Train
Q6F5H2_C,fold_04,Train
Q6F5H3_C,fold_04,Train
Q6ZH94_L,fold_04,Train
Q84UV0_L,fold_04,Train
Q8H2B4_L,fold_04,Train
Q8L5K1_C,fold_04,Train
Q8L5K3_C,fold_04,Train
Q940E7_C,fold_04,Train
Q96376_L,fold_04,Train
Q9AXM7_C,fold_04,Train
Q9FUW5_C,fold_04,Train
Q9M5A4_C,fold_04,Train
Q9SPN0_L,fold_04,Train
Q9SPN1_L,fold_04,Train
Q9SW76_C,fold_04,Train
R4I6X2_L,fold_04,Train
R4YVJ5_C,fold_04,Train
slectg065_np871_L,fold_04,Train
slectg127_np665_L,fold_04,Train
slectg240_np1756_L,fold_04,Train
U5PZT6_L,fold_04,Train
vodctg000225_np551212.245_C,fold_04,Train
vodctg000225_np551212959_L,fold_04,Train
vodctg000245_np551212567_C,fold_04,Train
vraChr51716_C,fold_04,Train
vraChr52544_C,fold_04,Train
C0PPR1_L,fold_04,Test
F2XF93_L,fold_04,Test
F2XFA6_L,fold_04,Test
Q675L1_C,fold_04,Test
Q675L2_L,fold_04,Test
Q9M7C9_C,fold_04,Test
A0A059SVB0_L,fold_05,Train
A0A068B0N9_L,fold_05,Train
A0A097ZLN9_L,fold_05,Train
A0A097ZLP5_L,fold_05,Train
A0A097ZLS9_L,fold_05,Train
A0A0D3ML99_C,fold_05,Train
A0A0F6PMD0_C,fold_05,Train
A0A140KFH3_L,fold_05,Train
A0A1C9J6A7_C,fold_05,Train
A0A1Q1N939_L,fold_05,Train
A0A2R3ZE38_L,fold_05,Train
A0A2R3ZE39_L,fold_05,Train
A0A345BJ04_L,fold_05,Train
A0A3G9EWY9_L,fold_05,Train
A0A481YAH7_C,fold_05,Train
A0A4Y5QVX4_C,fold_05,Train
A0A5B9G8E4_L,fold_05,Train
A0A6C0M6B5_L,fold_05,Train
A0A6P6W6H5_C,fold_05,Train
A0A7G8EIM4_L,fold_05,Train
A0A7L7S5P2_L,fold_05,Train
A0A7L7T499_L,fold_05,Train
A0A7L7TAQ2_L,fold_05,Train
A7IZZ1_C,fold_05,Train
ATY48639_L,fold_05,Train
B0F4G4_C,fold_05,Train
B1NA83_L,fold_05,Train
B1NA84_L,fold_05,Train
B6F137_L,fold_05,Train
C0KWV5_L,fold_05,Train
C0KWV7_L,fold_05,Train
C0KY88_L,fold_05,Train
C0PPR1_L,fold_05,Train
D4N3A0_L,fold_05,Train
D4N3A1_L,fold_05,Train
D5SL78_L,fold_05,Train
dinctg000_np1212847_L,fold_05,Train
F2XF93_L,fold_05,Train
F2XFA6_L,fold_05,Train
F8TWD1_L,fold_05,Train
F8TWD2_L,fold_05,Train
G5CV39_L,fold_05,Train
H6UQ81_L,fold_05,Train
H6WBC5_L,fold_05,Train
hmoChr44410_L,fold_05,Train
J7HWK5_L,fold_05,Train
O04806_C,fold_05,Train
P0CV95_L,fold_05,Train
Q1XBU5_L,fold_05,Train
Q20HU7_C,fold_05,Train
Q2XSC5_L,fold_05,Train
Q2XSC6_C,fold_05,Train
Q40322_C,fold_05,Train
Q5SBP3_L,fold_05,Train
Q675L1_C,fold_05,Train
Q675L2_L,fold_05,Train
Q6F5H2_C,fold_05,Train
Q6F5H3_C,fold_05,Train
Q6ZH94_L,fold_05,Train
Q84UV0_L,fold_05,Train
Q8H2B4_L,fold_05,Train
Q8L5K1_C,fold_05,Train
Q8L5K3_C,fold_05,Train
Q940E7_C,fold_05,Train
Q96376_L,fold_05,Train
Q9AXM7_C,fold_05,Train
Q9FUW5_C,fold_05,Train
Q9M5A4_C,fold_05,Train
Q9M7C9_C,fold_05,Train
Q9SPN0_L,fold_05,Train
Q9SPN1_L,fold_05,Train
Q9SW76_C,fold_05,Train
R4I6X2_L,fold_05,Train
R4YVJ5_C,fold_05,Train
slectg127_np665_L,fold_05,Train
slectg240_np1756_L,fold_05,Train
U5PZT6_L,fold_05,Train
vodctg000225_np551212.245_C,fold_05,Train
vodctg000225_np551212959_L,fold_05,Train
vodctg000245_np551212567_C,fold_05,Train
vraChr51716_C,fold_05,Train
vraChr52544_C,fold_05,Train
A0A4Y5QWA6_L,fold_05,Test
A0A4Y5QZ62_L,fold_05,Test
A0A7L7S5U1_L,fold_05,Test
P0CV94_L,fold_05,Test
slectg065_np871_L,fold_05,Test
A0A059SVB0_L,fold_06,Train
A0A097ZLN9_L,fold_06,Train
A0A097ZLP5_L,fold_06,Train
A0A097ZLS9_L,fold_06,Train
A0A0D3ML99_C,fold_06,Train
A0A0F6PMD0_C,fold_06,Train
A0A140KFH3_L,fold_06,Train
A0A1C9J6A7_C,fold_06,Train
A0A1Q1N939_L,fold_06,Train
A0A2R3ZE38_L,fold_06,Train
A0A345BJ04_L,fold_06,Train
A0A3G9EWY9_L,fold_06,Train
A0A481YAH7_C,fold_06,Train
A0A4Y5QVX4_C,fold_06,Train
A0A4Y5QWA6_L,fold_06,Train
A0A4Y5QZ62_L,fold_06,Train
A0A6C0M6B5_L,fold_06,Train
A0A6P6W6H5_C,fold_06,Train
A0A7L7S5P2_L,fold_06,Train
A0A7L7S5U1_L,fold_06,Train
A0A7L7T499_L,fold_06,Train
A0A7L7TAQ2_L,fold_06,Train
A7IZZ1_C,fold_06,Train
ATY48639_L,fold_06,Train
B0F4G4_C,fold_06,Train
B1NA83_L,fold_06,Train
B1NA84_L,fold_06,Train
B6F137_L,fold_06,Train
C0KWV5_L,fold_06,Train
C0KWV7_L,fold_06,Train
C0KY88_L,fold_06,Train
C0PPR1_L,fold_06,Train
D4N3A0_L,fold_06,Train
D4N3A1_L,fold_06,Train
D5SL78_L,fold_06,Train
dinctg000_np1212847_L,fold_06,Train
F2XF93_L,fold_06,Train
F2XFA6_L,fold_06,Train
F8TWD1_L,fold_06,Train
F8TWD2_L,fold_06,Train
G5CV39_L,fold_06,Train
H6UQ81_L,fold_06,Train
H6WBC5_L,fold_06,Train
hmoChr44410_L,fold_06,Train
J7HWK5_L,fold_06,Train
O04806_C,fold_06,Train
P0CV94_L,fold_06,Train
P0CV95_L,fold_06,Train
Q1XBU5_L,fold_06,Train
Q20HU7_C,fold_06,Train
Q2XSC5_L,fold_06,Train
Q2XSC6_C,fold_06,Train
Q40322_C,fold_06,Train
Q5SBP3_L,fold_06,Train
Q675L1_C,fold_06,Train
Q675L2_L,fold_06,Train
Q6F5H2_C,fold_06,Train
Q6F5H3_C,fold_06,Train
Q6ZH94_L,fold_06,Train
Q84UV0_L,fold_06,Train
Q8H2B4_L,fold_06,Train
Q8L5K1_C,fold_06,Train
Q8L5K3_C,fold_06,Train
Q940E7_C,fold_06,Train
Q96376_L,fold_06,Train
Q9AXM7_C,fold_06,Train
Q9FUW5_C,fold_06,Train
Q9M5A4_C,fold_06,Train
Q9M7C9_C,fold_06,Train
Q9SPN0_L,fold_06,Train
Q9SPN1_L,fold_06,Train
Q9SW76_C,fold_06,Train
R4I6X2_L,fold_06,Train
R4YVJ5_C,fold_06,Train
slectg065_np871_L,fold_06,Train
slectg127_np665_L,fold_06,Train
slectg240_np1756_L,fold_06,Train
U5PZT6_L,fold_06,Train
vodctg000225_np551212.245_C,fold_06,Train
vodctg000225_np551212959_L,fold_06,Train
vodctg000245_np551212567_C,fold_06,Train
vraChr51716_C,fold_06,Train
vraChr52544_C,fold_06,Train
A0A068B0N9_L,fold_06,Test
A0A2R3ZE39_L,fold_06,Test
A0A5B9G8E4_L,fold_06,Test
A0A7G8EIM4_L,fold_06,Test
A0A059SVB0_L,fold_07,Train
A0A068B0N9_L,fold_07,Train
A0A097ZLN9_L,fold_07,Train
A0A097ZLS9_L,fold_07,Train
A0A0D3ML99_C,fold_07,Train
A0A0F6PMD0_C,fold_07,Train
A0A140KFH3_L,fold_07,Train
A0A1C9J6A7_C,fold_07,Train
A0A1Q1N939_L,fold_07,Train
A0A2R3ZE38_L,fold_07,Train
A0A2R3ZE39_L,fold_07,Train
A0A345BJ04_L,fold_07,Train
A0A3G9EWY9_L,fold_07,Train
A0A481YAH7_C,fold_07,Train
A0A4Y5QVX4_C,fold_07,Train
A0A4Y5QWA6_L,fold_07,Train
A0A4Y5QZ62_L,fold_07,Train
A0A5B9G8E4_L,fold_07,Train
A0A6C0M6B5_L,fold_07,Train
A0A6P6W6H5_C,fold_07,Train
A0A7G8EIM4_L,fold_07,Train
A0A7L7S5P2_L,fold_07,Train
A0A7L7S5U1_L,fold_07,Train
A0A7L7T499_L,fold_07,Train
A0A7L7TAQ2_L,fold_07,Train
A7IZZ1_C,fold_07,Train
ATY48639_L,fold_07,Train
B0F4G4_C,fold_07,Train
B1NA83_L,fold_07,Train
B1NA84_L,fold_07,Train
B6F137_L,fold_07,Train
C0KWV5_L,fold_07,Train
C0KWV7_L,fold_07,Train
C0KY88_L,fold_07,Train
C0PPR1_L,fold_07,Train
D4N3A0_L,fold_07,Train
D4N3A1_L,fold_07,Train
D5SL78_L,fold_07,Train
dinctg000_np1212847_L,fold_07,Train
F2XF93_L,fold_07,Train
F2XFA6_L,fold_07,Train
F8TWD1_L,fold_07,Train
F8TWD2_L,fold_07,Train
G5CV39_L,fold_07,Train
H6UQ81_L,fold_07,Train
H6WBC5_L,fold_07,Train
hmoChr44410_L,fold_07,Train
J7HWK5_L,fold_07,Train
O04806_C,fold_07,Train
P0CV94_L,fold_07,Train
P0CV95_L,fold_07,Train
Q1XBU5_L,fold_07,Train
Q20HU7_C,fold_07,Train
Q2XSC5_L,fold_07,Train
Q2XSC6_C,fold_07,Train
Q40322_C,fold_07,Train
Q5SBP3_L,fold_07,Train
Q675L1_C,fold_07,Train
Q675L2_L,fold_07,Train
Q6F5H2_C,fold_07,Train
Q6F5H3_C,fold_07,Train
Q6ZH94_L,fold_07,Train
Q84UV0_L,fold_07,Train
Q8H2B4_L,fold_07,Train
Q8L5K1_C,fold_07,Train
Q8L5K3_C,fold_07,Train
Q940E7_C,fold_07,Train
Q96376_L,fold_07,Train
Q9AXM7_C,fold_07,Train
Q9FUW5_C,fold_07,Train
Q9M5A4_C,fold_07,Train
Q9M7C9_C,fold_07,Train
Q9SPN0_L,fold_07,Train
Q9SPN1_L,fold_07,Train
Q9SW76_C,fold_07,Train
R4I6X2_L,fold_07,Train
R4YVJ5_C,fold_07,Train
slectg065_np871_L,fold_07,Train
slectg127_np665_L,fold_07,Train
slectg240_np1756_L,fold_07,Train
U5PZT6_L,fold_07,Train
vodctg000225_np551212959_L,fold_07,Train
vraChr51716_C,fold_07,Train
A0A097ZLP5_L,fold_07,Test
vodctg000225_np551212.245_C,fold_07,Test
vodctg000245_np551212567_C,fold_07,Test
vraChr52544_C,fold_07,Test
A0A059SVB0_L,fold_08,Train
A0A068B0N9_L,fold_08,Train
A0A097ZLN9_L,fold_08,Train
A0A097ZLP5_L,fold_08,Train
A0A097ZLS9_L,fold_08,Train
A0A0D3ML99_C,fold_08,Train
A0A0F6PMD0_C,fold_08,Train
A0A140KFH3_L,fold_08,Train
A0A1C9J6A7_C,fold_08,Train
A0A2R3ZE38_L,fold_08,Train
A0A2R3ZE39_L,fold_08,Train
A0A345BJ04_L,fold_08,Train
A0A3G9EWY9_L,fold_08,Train
A0A481YAH7_C,fold_08,Train
A0A4Y5QVX4_C,fold_08,Train
A0A4Y5QWA6_L,fold_08,Train
A0A4Y5QZ62_L,fold_08,Train
A0A5B9G8E4_L,fold_08,Train
A0A6C0M6B5_L,fold_08,Train
A0A6P6W6H5_C,fold_08,Train
A0A7G8EIM4_L,fold_08,Train
A0A7L7S5P2_L,fold_08,Train
A0A7L7S5U1_L,fold_08,Train
A7IZZ1_C,fold_08,Train
ATY48639_L,fold_08,Train
B0F4G4_C,fold_08,Train
B1NA83_L,fold_08,Train
B1NA84_L,fold_08,Train
B6F137_L,fold_08,Train
C0KWV5_L,fold_08,Train
C0KWV7_L,fold_08,Train
C0KY88_L,fold_08,Train
C0PPR1_L,fold_08,Train
D4N3A0_L,fold_08,Train
D4N3A1_L,fold_08,Train
D5SL78_L,fold_08,Train
dinctg000_np1212847_L,fold_08,Train
F2XF93_L,fold_08,Train
F2XFA6_L,fold_08,Train
F8TWD1_L,fold_08,Train
F8TWD2_L,fold_08,Train
G5CV39_L,fold_08,Train
H6UQ81_L,fold_08,Train
H6WBC5_L,fold_08,Train
hmoChr44410_L,fold_08,Train
J7HWK5_L,fold_08,Train
O04806_C,fold_08,Train
P0CV94_L,fold_08,Train
P0CV95_L,fold_08,Train
Q1XBU5_L,fold_08,Train
Q20HU7_C,fold_08,Train
Q2XSC5_L,fold_08,Train
Q2XSC6_C,fold_08,Train
Q40322_C,fold_08,Train
Q5SBP3_L,fold_08,Train
Q675L1_C,fold_08,Train
Q675L2_L,fold_08,Train
Q6F5H2_C,fold_08,Train
Q6F5H3_C,fold_08,Train
Q6ZH94_L,fold_08,Train
Q84UV0_L,fold_08,Train
Q8H2B4_L,fold_08,Train
Q8L5K1_C,fold_08,Train
Q8L5K3_C,fold_08,Train
Q940E7_C,fold_08,Train
Q96376_L,fold_08,Train
Q9AXM7_C,fold_08,Train
Q9FUW5_C,fold_08,Train
